Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/5/2018 11:27:39,AI (Cognitive Sciences),no,0,mu,nee,male,neither,17/03/1992,6,no,undefined,7.44,1,Saturday,Sunday
4/5/2018 11:27:39,Big data engineering,no,0,mu,ja,male,neither,14.10.1992,1,no,100/n,46371646292,1:48,Good fuckin breakfast,Completing my task
4/5/2018 11:27:40,AI,no,1,mu,ja,female,neither,1991,1,no,1,9,3,Sunny weather,no work appointments
4/5/2018 11:27:40,Bioinformatics and Systems Biology,yes,0,mu,nee,male,fat,10-09-1996,4,no,0.5,2,02:00,Good weather,No lectures
4/5/2018 11:27:40,Econometrics,no,0,mu,nee,male,fat,19-09-1993,4,no,0.33,8,1.3,Chocolate,Flying
4/5/2018 11:27:41,AI,yes,1,mu,ja,female,I have no idea what you are talking about,September 9th,6,no,50,9,23.14,If the sun shines,If I got up with the correct leg
4/5/2018 11:27:42,Computational Science,yes,1,mu,ja,male,slim,26-01-1994,6,unknown,£100 / 400,3,00:45,Sun,Friends
4/5/2018 11:27:42,Business analytics,yes,0,mu,nee,female,fat,24-11-1995,1,no,75,9,01:00,Sun,Good food
4/5/2018 11:27:42,AI (VU version),no,0,mu,nee,male,neither,03-09-1994,4,no,27,8,2 AM,Relief,Future plans being solid
4/5/2018 11:27:42,Msc Artificial intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,9/11,3,yes,100,6.9,1:00,Sex,Drugs
4/5/2018 11:27:43,BA,yes,0,mu,nee,male,neither,30-12-1992,300,no,"0,3",9,23:30,Wake up without A alarm,Going to the gym
4/5/2018 11:27:43,Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,18-02-1994,7,no,10,75389275660,23:30,Sports,Being productive
4/5/2018 11:27:43,cs,no,0,sigma,nee,male,slim,22-05-1996,2,unknown,0.37,9,23.16,Good food,fast train
4/5/2018 11:27:43,BA,yes,1,mu,ja,female,fat,13-09-1995,7,no,"0,25",8,23:00,Nice weather,Coffe
4/5/2018 11:27:44,AI,yes,1,sigma,nee,male,I have no idea what you are talking about,26/03/1993,8,yes,1,7,12:30am,Finish my daily tasks,Watch a movie
4/5/2018 11:27:44,AI,yes,1,sigma,ja,female,fat,15.11,8,no,50,7,0.25,no rain,sun
4/5/2018 11:27:45,CLS,yes,0,mu,nee,male,neither,04/04/1990,8,no,0,4,11:49,sun,good food
4/5/2018 11:27:45,AI,no,1,mu,nee,male,I have no idea what you are talking about,19-04-1989,7,no,100/400,9,23:45,Getting my salary,Bike not braking down
4/5/2018 11:27:45,MPA,no,0,mu,nee,male,neither,04-06-1992,4,no,100,4,11pm,sunny weather,no obligations
4/5/2018 11:27:45,CS,yes,1,mu,ja,male,fat,05.04.1995,8,no,80,6,0.3,Sunny weather ,Good food
4/5/2018 11:27:45,bioinformatics,yes,0,sigma,nee,male,fat,22/09/1988,9,no,1,7,2359,good dinner,assignmeny done
4/5/2018 11:27:45,AI,yes,1,sigma,nee,male,fat,14/03/1981,20,no,100,1,00:30,Get some good sleep,Get satisfaction at work
4/5/2018 11:27:46,Computational Science (JD),yes,0,mu,nee,male,neither,31-12-1993,3,no,0.25,8,02:00,Friendly encounters,Good coffee
4/5/2018 11:27:46,Bioinformatics & System Biology,yes,0,mu,nee,female,neither,11/02/1996,1,no,£0.25,2,4.40 AM,Morning tea,Getting to bed early
4/5/2018 11:27:46,Bioinformatics,yes,0,mu,nee,male,fat,20-03-1995,2,no,0.25,10,12:20,Good dinner,Friends
4/5/2018 11:27:46,AI,yes,1,mu,nee,female,fat,19-05,1,no,1/amount of people ,22,2:00 ,Seeing friends,sun
4/5/2018 11:27:47,AI,no,0,mu,unknown,female,I have no idea what you are talking about,8,1,no,"12,34",8,06:00,Nothing,"Nothing, I hate life"
4/5/2018 11:27:48,OR,no,0,mu,nee,male,neither,10-12-1995,8,no,0.25,123581321,23:45,Sports,Good dinner
4/5/2018 11:27:48,EOR,yes,1,mu,nee,male,fat,23-10-1994,10,no,100,1987,0.35,Achievement,Relaxation
4/5/2018 11:27:48,Business Analytics,no,0,mu,nee,female,neither,18/02/1993,1,no,10,4,23:30,Tasty food,Being with my friends
4/5/2018 11:27:48,Mathematics Exchange,yes,0,mu,nee,male,neither,June 17th,5,no,100,10,1.3,Productivity,Decent dinner
4/5/2018 11:27:48,BA,yes,1,mu,ja,male,neither,02-09-1996,1,no,£5,1,00:00,Sleep,Good news
4/5/2018 11:27:49,Bioinformatics and systems biology,no,0,sigma,nee,female,neither,24/04/1995,2,no,10,10,00:00,Sunny day,Meeting with friends
4/5/2018 11:27:50,CS,no,0,mu,ja,male,I have no idea what you are talking about,29.03,3,no,25,7,3,Food,Football
4/5/2018 11:27:50,Econometrics,no,0,sigma,nee,male,fat,23-06-1994,7,no,1,4,11:30,Succeed in dayly goal,Noting to do
4/5/2018 11:27:50,AI,yes,0,mu,nee,male,I have no idea what you are talking about,25-10-1990,4,no,15,1,23,Coffee,Sunshine
4/5/2018 11:27:50,BA,yes,1,mu,ja,unknown,neither,6-9-1994,1,no,0.25,6,23:30,No school/work,Sex
4/5/2018 11:27:50,AI,no,0,mu,nee,female,I have no idea what you are talking about,16/01/1995,2,no,"0,4",7,3:00,Friends,Weather
4/5/2018 11:27:50,BA,yes,0,mu,ja,female,fat,13-06-1994,2,no,5,7,23:00,sun,free day
4/5/2018 11:27:51,BA,yes,1,mu,ja,male,I have no idea what you are talking about,24-04,6,no,0.4,9,1.15,Sports,Drinks
4/5/2018 11:27:51,Bioinformatics,no,0,mu,ja,male,fat,14/12/95,6,no,1,8,12,Rest,Goos food
4/5/2018 11:27:51,Quantitative risk management,no,0,mu,nee,male,neither,24.05.1993,2,no,5,1,1:30,Na,Na
4/5/2018 11:27:51,Msc Computational science,yes,0,mu,ja,female,fat,12/07/1990,7,yes,2£,2,1:15,Dance,Productive
4/5/2018 11:27:51,Business Analytics Msc,yes,1,mu,ja,male,I have no idea what you are talking about,18-01-1997,5,unknown,100,7,00:30,Sunshine,Good food
4/5/2018 11:27:51,MS,unknown,0,mu,nee,male,neither,05-02-1988,8,no,50,3,23:58,A productive day,A day with company
4/5/2018 11:27:52,Msc. Bioinformatics and Systems Biology,no,0,sigma,nee,male,fat,06-11-1992,2,no,1,537,02:30,Food,Chocolate
4/5/2018 11:27:52,AI,no,0,mu,nee,male,neither,07/03/1995,6,no,"0,25",6,23:45,Fun,Nice food
4/5/2018 11:27:53,AI,yes,1,mu,ja,male,I have no idea what you are talking about,31-07-1992,4,no,90,1,2:00,Sleeping in,Staying up late
4/5/2018 11:27:53,Business Analytics,yes,0,mu,ja,male,fat,1-10-1768,>300,no,100 + interest ,"rnorm(n = 1, mu = 12, sigma = 1)",10:00pm,having a good sleep,some free time
4/5/2018 11:27:53,Quantitative Risk Management,unknown,0,mu,nee,male,neither,1994,0,no,50,3,11,good weather,free time
4/5/2018 11:27:54,Computer Science,no,0,mu,ja,female,I have no idea what you are talking about,12-10-1991,A lot ,no,100,3,3 am,Good food,No stress
4/5/2018 11:27:54,AI,yes,1,mu,ja,male,fat,02-07-1993,7,no,20,7,01:34,Coffee,Sunshine
4/5/2018 11:27:54,QRM,no,0,mu,nee,male,I have no idea what you are talking about,03-12-1993,0,no,14,4,3.3,Coffee,Sunny day
4/5/2018 11:27:55,Bioinformatics and systems biology,yes,0,mu,nee,male,I have no idea what you are talking about,18-09-1991,6,no,1,8,12,Sunshine,Breakfast
4/5/2018 11:27:56,Bioinformatcis,yes,0,sigma,nee,male,neither,23-01-1994,6,no,0.25,4,01:30,No responsibilities,sleeping in
4/5/2018 11:27:56,business analytics,no,0,mu,nee,male,fat,12-10-1994,315,no,1,10,1AM,Playing football,Meeting awesome people
4/5/2018 11:27:58,Master Econometrics & Operations Research,yes,1,mu,ja,male,fat,05-11-1990,24,no,5,8,1 AM,Sex,Asian food
4/5/2018 11:27:58,Exchange,yes,0,unknown,ja,female,neither,01-06-1994,6,no,20,1,23:30,Things to do,Not too much to do
4/5/2018 11:27:58,BA,yes,0,mu,nee,male,neither,4071991,6,no,0.25,8,24,sleeping,weather
4/5/2018 11:27:58,PhD,no,0,mu,nee,male,neither,01/03/1995,2,no,0.25,7,23:30,Nice food,Good sleep
4/5/2018 11:27:59,Bioinformatics and Systems Biology ,no,0,mu,nee,male,fat,02-03-1996,6,no,10,2,23:30,Good sleep,Good food
4/5/2018 11:27:59,MSC Bioinformatics,yes,0,mu,nee,female,neither,05/08/1987,2,no,£1,7,00:13,Sunshine,Having the house quiet ehrn i wake up
4/5/2018 11:28:00,"B Science, Business & Innovation",no,0,unknown,ja,male,neither,25-02-1994,2,no,0.5,6,23:45,Waking up not tired,Have nothing to do
4/5/2018 11:28:00,Economics,no,0,mu,nee,female,neither,28.03.1995,2,no,0.25,7,23:00,A,B
4/5/2018 11:28:00,Computational Science,no,0,mu,nee,male,neither,27-01-1995,8,no,52.6,4,10.30 pm,Free cheese,Good coffee
4/5/2018 11:28:00,Duisenberg Honors Program Quantitative Risk Managament,no,0,mu,nee,male,neither,10-09,8,no,5,6,00:30,Success,Food
4/5/2018 11:28:01,AI,yes,0,mu,ja,male,neither,09.07.1994,1,no,1,10,12,Having slept well,Getting work done
4/5/2018 11:28:01,Master Econometrics and operations research,yes,1,mu,ja,unknown,I have no idea what you are talking about,18-5,8,unknown,1,3,23,Free time,Not it being bad
4/5/2018 11:28:02,CLS,yes,1,mu,ja,male,neither,25-10-1996,1,no,101,4,3:20,Pizza,Seeing you *kiss*
4/5/2018 11:28:02,AI,yes,1,mu,ja,male,neither,11-02-1994,7,no,1,3,03:00,Beer,Exercise
4/5/2018 11:28:03,Business Analytics ,no,0,mu,nee,male,I have no idea what you are talking about,15-08-1995,2,no,101,2,23:15,Holiday,Food 
4/5/2018 11:28:03,Quantitative Risk Management,no,0,mu,nee,male,neither,12-09-1996,1,no,"£0,5",9,01:30,No time series assignment,.
4/5/2018 11:28:03,CS,no,1,mu,nee,male,fat,11/08/1992,2,no,1,8,1,good food,new experiences
4/5/2018 11:28:04,Econometrics,no,0,mu,unknown,female,fat,23-12-1991,1,no,4,7,1,Me-Time,Productivity
4/5/2018 11:28:04,Master Bionformatics and Systems Biology,yes,0,mu,nee,female,I have no idea what you are talking about,13-06-1993,4,no,5,3,2:00,Not having to get up early,sushi
4/5/2018 11:28:04,Computational Science,yes,0,mu,ja,male,neither,26.06,5,no,$0.25,9, 1 a.m.,Sunny,Food
4/5/2018 11:28:05,AI,no,0,mu,nee,male,neither,12-02-1993,3,no,3,7,2 AM,No alarm in the morning,Good and sunny weather
4/5/2018 11:28:08,CSL,no,1,mu,nee,male,neither,10-04,3,no,1,42,22.3,waking up well rested,get fast asleep quickly
4/5/2018 11:28:08,PhD,no,0,mu,nee,male,neither,01/03/1995,2,no,0.25,7,23:30,Nice food,Good sleep
4/5/2018 11:28:09,Artificial intelligence ,no,unknown,mu,unknown,female,neither,25-08-1996,0,no,1euro,3,0,Food,Not having Anything to do
4/5/2018 11:28:09,BA,yes,0,mu,nee,male,fat,07/07/1992,3,no,5,4,1:30,Sleep,Sports
4/5/2018 11:28:10,Masters Computer Science(big data engineering),no,1,mu,ja,male,I have no idea what you are talking about,2/4/1995,6,no,100/n,9,12,Cloudy skies  ,Memes 
4/5/2018 11:28:11,Computational Science,yes,0,mu,nee,male,neither,17-11,3,no,1,10,1:00,afternoon lectures,weekend
4/5/2018 11:28:12,BA,yes,0,mu,nee,male,fat,01-09-1994,3,yes,200,1,00:00,Food,No college
4/5/2018 11:28:14,BA,yes,1,mu,ja,female,fat,23-02-1995,5,no,30,9,23:30,Getting a good grade,Sleep well
4/5/2018 11:28:15,Econometrics,no,0,mu,unknown,male,fat,02-09-1993,1,no,0.25,2,00:30,nice weather,fun time
4/5/2018 11:28:15,Computational Science,yes,0,mu,nee,male,I have no idea what you are talking about,07-06-1993,4,yes,"0,33",42,23:15,No lecture at 9,No lectures
4/5/2018 11:28:15,Computer Science,yes,1,mu,ja,male,fat,01-12,5,no,0.4,69,2:30,Morning sex,Going to the gym
4/5/2018 11:28:18,Business Analytics,yes,0,mu,ja,female,neither,19-03-1993,4,no,100/300,9,00:00,Good sleep,Free time 
4/5/2018 11:28:19,Bioinformatics master,yes,0,sigma,nee,female,neither,?,4/8,no,5,8,22:00,good weather,Achievement
4/5/2018 11:28:20,Mathematics,no,0,mu,nee,female,I have no idea what you are talking about,24-09-1996,7,no,5,7,23:00,A good sleep,Be around nice people
